fid,MS_ID,kmeans_cluster,distance_to_assigned_centroid
29962,29962,1,0.7097523413367579
29963,29963,1,0.7058700109212697
30157,30157,1,0.472092661118244
30158,30158,1,0.46357957294723073
30159,30159,1,0.4647228647553966
30160,30160,1,0.46352232080837363
30161,30161,1,0.44741544900721214
30162,30162,1,0.44987321812335807
30322,30322,1,0.6019118032144244
30323,30323,1,0.6086661190134761
30324,30324,1,0.6214824765642756
30325,30325,1,0.6296752659289823
30326,30326,1,0.6204992158261791
30327,30327,1,0.6477194532706647
30328,30328,1,0.6499395101297183
30373,30373,1,0.28008870692919985
30374,30374,1,0.2799677962429422
30375,30375,1,0.24539893049013517
30376,30376,1,0.25800305092090836
30377,30377,1,0.26275596383773553
30378,30378,1,0.2560927482471082
30379,30379,1,0.2632883217980936
30380,30380,1,0.26715704580326
30381,30381,1,0.2642544330235389
30382,30382,1,0.26544669498428897
30383,30383,1,0.44397688647700795
30384,30384,1,0.4547399424728553
30385,30385,1,0.4591568894877213
30386,30386,1,0.46022775148832007
30463,30463,2,0.14486412042685445
