Tem_extent,N_TFlossR_2kiw,N_TFlossR_2ktw,N_TFlossR_2kmw,TFResident_lossR,TFDaynight_lossR,TFPRM_lossR,TFAB2k_NOR,TFAB5k_NOR,TFABC_NOR
0,-1.0,-0.73405815722872,-0.609442060085837,0.0,-0.275932759327593,0.0,0.219166743010933,0.228926223031539,0.0684106241070584
0,-1.0,-0.73405815722872,-0.604347826086956,0.0,-0.275932759327593,0.0,0.206560038419822,0.219849423862719,0.0677187050465584
0,-1.0,-0.73405815722872,-0.607758620689655,0.0,-0.275932759327593,0.0,0.795276980890348,0.922815304127703,0.428096681726643
0,-1.0,-0.729781994515865,-0.602620087336245,0.0,-0.275932759327593,0.0,0.794014427271839,0.922566212658637,0.426678506904946
0,-1.0,-0.729781994515865,-0.578703703703704,0.0,-0.083073727933541,0.0,0.76708996229287,0.916710588278898,0.397634664915736
0,-1.0,-0.716443064428886,-0.558823529411765,0.0,-0.083073727933541,0.0,0.762215574054714,0.915563544325403,0.398585286147823
0,-1.0,-0.716443064428886,-0.55,0.0,-0.083073727933541,0.0,0.760892368119122,0.915346399159897,0.39734987092186
0,-1.0,-1.0,-1.0,,-0.590163934426229,,0.998919360743875,0.999936346186026,0.0884459290834247
0,-1.0,-1.0,-1.0,,-0.766355140186916,,0.998919042352507,0.999937981879939,0.0861963762774596
0,-1.0,-1.0,-1.0,,-0.766355140186916,,0.9990141073588,0.999944809279113,0.0840105042443519
0,-1.0,-1.0,-1.0,,-0.766355140186916,,0.999192793963442,0.999956066453935,0.0815194008875436
0,-1.0,-1.0,-1.0,,-0.766355140186916,,0.999431024443477,0.999969895510173,0.0791445411451641
0,-1.0,-1.0,-1.0,,-0.766355140186916,,0.999734747500085,0.99998634133813,0.076951275343223
0,-1.0,-1.0,-1.0,,-0.766355140186916,,1.0,1.0,0.0755568371009561
1,1.0,1.0,1.0,,-1.0,,1.0,1.0,0.0739407323208546
1,1.0,1.0,1.0,,-1.0,,1.0,1.0,0.0724964180632627
