fid,MS_ID,TF_Index_Risk_equal,source_row_position,structural_null_count,had_structural_null,PC1,PC2,PC3,PC4,PC5,PC6,PC7
24407,24407,0.619408874351377,14,0,False,-0.23152707467180092,0.26027700708650237,-2.5065591139616665,-0.1114542765102356,-0.095201426862942,-0.8399420027147007,-0.14727264880439242
24408,24408,0.541991678492843,15,0,False,0.02416450155597528,0.15628539211987208,-2.231755403496992,-0.1619699745910676,0.4655107837505556,-0.8912788738899647,-0.11019212226016037
24409,24409,0.594705906435689,16,0,False,-0.27476287152625023,0.26006098045939796,-2.5243631947094705,-0.12369993776142163,-0.065662087758974,-0.8346023896140815,-0.10905951731679844
24410,24410,0.589339225063267,17,0,False,-0.09846524592906505,0.3331100566482731,-2.82991708567272,-0.13612468478853346,0.1391564329007227,0.4570970955189477,-0.20423660287247333
24411,24411,0.555925488262495,18,0,False,-1.0744298730821895,-0.025154978386433546,-1.382558459044755,-0.2710583664942243,-0.3641210395430845,-1.2136009025886814,-0.11852248708082778
24412,24412,0.340828555475408,19,0,False,-1.2528777796439876,-0.42760136462078774,0.04819731132435141,-0.4739860632542922,0.637833307068563,-0.04434362508037221,-0.15021360757616692
24413,24413,0.335334716445688,20,1,True,-1.2400518786446153,-0.4309439155533979,0.05304219677174818,-0.4911652179870749,0.6269452597049704,-0.042327272791930756,-0.14370182583750368
24414,24414,0.331570695539299,21,1,True,-1.2313602694980792,-0.4319837449535609,0.056409190961601734,-0.5108069267034572,0.619642061937768,-0.0420409164423849,-0.16033000919734275
24415,24415,0.333833486625669,22,0,False,-1.2436932367300746,-0.4089158785399375,0.053205146618796245,-0.5167205518215157,0.6305252231994739,-0.042692930197945504,-0.12516560566963308
24416,24416,0.308504285944028,23,0,False,-1.1499381121076877,-0.4327776697075359,0.15344077485413038,-0.5435955528768414,0.8198537628536408,-0.06027253776097937,-0.12123297827253349
24417,24417,0.306102050092542,24,0,False,-1.133982542523786,-0.4235555771394969,0.16383358351072316,-0.5635255191003684,0.8074926263958231,-0.05955048573353173,-0.14785805674827862
24418,24418,0.303652183488904,25,0,False,-1.1289105512693158,-0.4327303855471814,0.16366574237169232,-0.5743867602637929,0.8026634505918051,-0.05906299715601307,-0.15377993034936202
24419,24419,0.39081704105227,26,0,False,-1.4464254413079012,-0.28652617008863746,-0.166334313578715,-0.5445910542319168,0.1620773526066028,-0.00122440297788708,-0.16991381522391133
24420,24420,0.39239981524135,27,1,True,-1.4478975462671553,-0.26971809575788513,-0.16416616117580152,-0.5564297710530931,0.16409669184782952,-0.0020591333672094134,-0.17422253991290138
24421,24421,0.39340311237596,28,1,True,-1.4472759879012829,-0.256676253103344,-0.1615942141546251,-0.5685893477784376,0.16423445698308117,-0.0027286219697655175,-0.18289094054100163
24422,24422,0.395351636130575,29,1,True,-1.4483892761664954,-0.23740342960097868,-0.15854191645300805,-0.5799107455464518,0.16614359544840948,-0.003578865701635342,-0.18794735981395952
24423,24423,0.394450339092115,30,1,True,-1.4393167338901145,-0.2293038000918747,-0.15222362691610886,-0.5942042482959303,0.1592332632678211,-0.0032651918398044566,-0.2033780304917121
24424,24424,0.392781656993082,31,1,True,-1.4271368194153247,-0.2244031493420136,-0.14484692556493595,-0.6108471606726871,0.14966040969920755,-0.002872982651509137,-0.22756335166466723
24425,24425,0.395119082152465,32,1,True,-1.430053757983864,-0.20228766926758132,-0.1422777223239089,-0.6197896347967522,0.1531369746773475,-0.0034258896456033565,-0.21994882841424984
24426,24426,0.396564126675142,33,1,True,-1.4290289169879473,-0.18290765775307766,-0.13814684902374316,-0.6323235036744008,0.1532940434677346,-0.0038387017525736045,-0.22191226091954147
24427,24427,0.393207175443335,34,2,True,-1.4047292787845211,-0.16799031714036475,-0.12224509438259532,-0.6610823132417261,0.13446972822840023,-0.002243116235284437,-0.25171802281057665
