fid,MS_ID,TF_Index_Risk_equal,source_row_position,structural_null_count,had_structural_null,kmeans_cluster,distance_to_assigned_centroid
24459,24459,0.580137931801161,37,0,False,2,2.9098055941881484
24460,24460,0.581051689354064,38,0,False,2,2.8904310720525808
24461,24461,0.579096001634968,39,0,False,2,3.208419202930152
24462,24462,0.598683568971187,40,0,False,2,3.130422304256133
24463,24463,0.606674795003622,41,0,False,2,3.1875809151977457
24464,24464,0.94449493642731,42,0,False,4,2.222415865652922
24465,24465,0.775498597149607,43,1,True,2,3.9111375427196133
24466,24466,0.775871183549581,44,1,True,4,2.4877310194920508
24467,24467,0.775871183549581,45,1,True,4,2.4915538087109717
24468,24468,0.776301494290029,46,1,True,4,2.0214867553968245
24469,24469,0.776301494290029,47,1,True,4,2.007760827529675
24581,24581,0.259049683513414,48,0,False,2,1.724033409962644
24582,24582,0.25905653933308,49,0,False,2,1.722299459989222
24583,24583,0.259748734294334,50,0,False,2,1.7191008223142907
24584,24584,0.260349334571601,51,0,False,2,1.7172332233690393
24585,24585,0.261501713951213,52,0,False,2,1.7173988749442004
24586,24586,0.26219762992524,53,0,False,2,1.7159945067202078
24587,24587,0.263187402809097,54,0,False,2,1.714744019548413
24588,24588,0.290844614530427,55,0,False,2,2.8787658561650113
24589,24589,0.290769778497591,56,0,False,2,2.8788019008859473
24590,24590,0.310486615662438,57,0,False,2,2.249962848204183
24591,24591,0.320844893418609,58,0,False,2,3.7082783903979295
24592,24592,0.32217640120361,59,0,False,2,3.705123930763297
24593,24593,0.810929616462967,60,1,True,2,2.4787220574170608
24594,24594,0.810969066501303,61,1,True,2,2.4789650316635576
24595,24595,0.810991557212345,62,1,True,2,2.4782972432608172
24596,24596,0.765922830122342,63,1,True,3,1.9437791081400015
24597,24597,0.765922830122342,64,1,True,2,2.5302404126026783
24598,24598,0.765920594719049,65,1,True,2,2.529903271122043
24599,24599,0.76592152752912,66,1,True,2,2.5299202521343216
24600,24600,0.765922830122342,67,1,True,2,2.529493517500532
24601,24601,0.765880301741759,68,1,True,3,1.9445353888783448
24602,24602,0.803054208235545,69,1,True,3,1.9447437694342127
24603,24603,0.750734078801748,70,1,True,2,1.4651634356403485
24604,24604,0.749958719992498,71,1,True,2,1.4851851261108755
24605,24605,0.749915077119387,72,1,True,2,1.4840740331467
24606,24606,0.749877055184468,73,1,True,2,1.4836093633378027
24607,24607,0.74981952044508,74,1,True,2,1.4806661771197465
24608,24608,0.749800358181053,75,1,True,2,1.4798452258126777
24609,24609,0.749786449764521,76,1,True,2,1.4794502606506053
24610,24610,0.749771210034166,77,1,True,2,1.4794647703842068
24611,24611,0.749726738515734,78,1,True,2,1.476289018693242
24612,24612,0.749714506227077,79,1,True,2,1.475413288419831
24613,24613,0.749703090295029,80,1,True,2,1.474544007079171
24614,24614,0.780070333820029,81,0,False,2,2.7305083614524364
24615,24615,0.780081720164718,82,0,False,2,2.7309786512802297
24616,24616,0.942253652785132,83,0,False,4,0.5395251466759913
24617,24617,0.941810391376638,84,0,False,4,0.5366619693944947
24618,24618,0.942726034651937,85,0,False,4,0.532872943400599
24619,24619,0.941814637027645,86,0,False,4,0.511254170913782
24620,24620,0.948298093856733,87,0,False,4,0.5225774526699438
24621,24621,0.949422263394726,88,0,False,4,0.5145563579520889
24622,24622,0.948298093856733,89,0,False,4,0.5028813823391777
24623,24623,0.946811176002162,90,0,False,4,0.5080410863495761
24624,24624,0.941814637027645,91,0,False,4,0.5008061635956905
24625,24625,0.768684686667053,92,1,True,4,1.2055472519868344
24626,24626,0.768684686667053,93,1,True,4,1.204811678195801
24627,24627,0.764535069799756,94,1,True,4,1.2040014095937388
24628,24628,0.617392300690735,95,1,True,2,3.221402047277197
24629,24629,0.606218376280286,96,1,True,2,3.221002701327272
24630,24630,0.601172497331216,97,1,True,2,3.2208415405543405
24631,24631,0.59195880012783,98,1,True,2,3.2211533023939203
24632,24632,0.584193629120491,99,1,True,2,3.2207816665195264
24633,24633,0.554521759022131,100,1,True,2,2.51840512059289
24634,24634,0.553991716664719,101,1,True,2,2.5179594276408106
