N_TFlossR_2kiw,N_TFlossR_2ktw,N_TFlossR_2kmw,TFResident_lossR,TFDaynight_lossR,TFAB5k_NOR,TFABC_NOR
-1.191573866561969,-1.255311186269506,-0.9364126167840191,0.5111395356579561,-1.9097288376234594,0.8504050315441414,-0.04007427708738905
-1.191573866561969,-1.255311186269506,-0.9364126167840191,0.5111395356579561,-1.9097288376234594,0.8504353304277626,-0.03605986733656696
1.9070735205678657,1.905763371123763,1.9168307340503479,0.5111395356579561,-1.9729555119210187,0.8504353304277626,-0.03476041885613684
-1.191573866561969,-1.255311186269506,-0.9364126167840191,0.5111395356579561,-1.9729555119210187,0.8504353304277626,-0.034670967366286505
-1.191573866561969,-1.255311186269506,-0.9364126167840191,0.5111395356579561,-1.9729555119210187,0.850432172152859,-0.0325937974600383
-1.191573866561969,-1.255311186269506,-0.9364126167840191,0.5111395356579561,-1.9729555119210187,0.8504334808467913,-0.03269780665842426
-1.191573866561969,-1.255311186269506,-0.9364126167840191,0.5111395356579561,-1.9729555119210187,0.8504353304277626,-0.030050088086841925
1.9070735205678657,1.905763371123763,1.9168307340503479,0.5111395356579561,-1.9729555119210187,0.8504353304277626,-0.029989511630326218
1.9070735205678657,1.905763371123763,1.9168307340503479,0.5111395356579561,-1.9729555119210187,0.8504353304277626,-0.02868747016201885
-1.191573866561969,-1.255311186269506,-0.9364126167840191,0.5111395356579561,0.5177636465437766,0.8504353304277626,-0.024879952783453802
-1.191573866561969,-1.255311186269506,-0.9364126167840191,0.5111395356579561,0.589099290049626,0.850374029399473,-0.02237133351345967
-1.191573866561969,-1.255311186269506,-0.9364126167840191,0.5111395356579561,0.589099290049626,0.8503075843202953,-0.018266080143375846
-1.191573866561969,-1.255311186269506,-0.9364126167840191,0.5111395356579561,0.589099290049626,0.8502479364012246,-0.016562189894471304
-1.191573866561969,-1.255311186269506,-0.9364126167840191,0.5111395356579561,0.589099290049626,0.8501547009895252,-0.005379062974580667
-1.191573866561969,-1.255311186269506,-0.9364126167840191,0.5111395356579561,0.589099290049626,0.850122559388427,-0.002209850192393024
-1.191573866561969,-1.255311186269506,-0.9364126167840191,0.5111395356579561,0.589099290049626,0.8500986708002317,-0.0006830874763303868
-1.191573866561969,-1.255311186269506,-0.9364126167840191,0.5111395356579561,0.589099290049626,0.8500713811143894,-0.0007620643487048489
-1.191573866561969,-1.255311186269506,-0.9364126167840191,0.5111395356579561,0.589099290049626,0.8499923589864642,0.01182271983552558
-1.191573866561969,-1.255311186269506,-0.9364126167840191,0.5111395356579561,0.589099290049626,0.8499698279668215,0.015364628481953326
-1.191573866561969,-1.255311186269506,-0.9364126167840191,0.5111395356579561,0.589099290049626,0.8499483187826634,0.018913754529640895
