fid,MS_ID,TF_Index_Risk_equal,source_row_position,structural_null_count,had_structural_null,N_TFlossR_2kiw,N_TFlossR_2kmw,TFResident_lossR,TFDaynight_lossR,TFAB5k_NOR,TFABC_NOR,kmeans_cluster,distance_to_assigned_centroid
24418,24418,0.303652183488904,25,0,False,0.0,-0.884745762711864,0.0,0.0,0.506257082698678,0.0741501847237883,4,1.346606514351041
24419,24419,0.39081704105227,26,0,False,-0.5183995739405,-0.883959044368601,0.0,0.0,0.506073675404826,0.0775284538863003,4,0.7492912767807886
24420,24420,0.39239981524135,27,1,True,-0.5183995739405,-0.888524590163934,,0.0,0.505725233377662,0.0798662143223011,4,0.7591643075566187
24421,24421,0.39340311237596,28,1,True,-0.5183995739405,-0.893416927899687,,0.0,0.5052916426796,0.081916212336321,4,0.768342061914425
24422,24422,0.395351636130575,29,1,True,-0.5183995739405,-0.898507462686567,,0.0,0.505467869291919,0.0844677548912513,4,0.781434070508568
24423,24423,0.394450339092115,30,1,True,-0.5183995739405,-0.900584795321637,,0.0,0.505534140518417,0.0864065108193784,4,0.7906300259944765
24424,24424,0.392781656993082,31,1,True,-0.5183995739405,-0.904494382022472,,0.0,0.505474091457012,0.0882675130256475,4,0.8003856450500783
24425,24425,0.395119082152465,32,1,True,-0.5183995739405,-0.904891304347826,,0.0,0.505820523621943,0.0908990497148387,4,0.8129555004074046
24426,24426,0.396564126675142,33,1,True,-0.5183995739405,-0.906976744186046,,0.0,0.506004603032333,0.0935997400672603,4,0.8267631140573728
24427,24427,0.393207175443335,34,2,True,-0.5183995739405,-0.906474820143885,,,0.506907893428728,0.0975348258338424,4,0.8473008646305132
24428,24428,0.391513155985508,35,2,True,-0.5183995739405,-0.911363636363636,,,0.506755928739432,0.100260158300414,4,0.8628875840200763
24458,24458,0.577978842015083,36,0,False,0.0,-0.663636363636364,-0.912116040955631,-0.118761009982384,0.978467321493331,0.342257517506822,2,2.099034799102029
24459,24459,0.580137931801161,37,0,False,0.0,-0.664499349804942,-0.934168365860763,-0.118761009982384,0.978636342440593,0.342137045873027,2,2.1471373541812993
24460,24460,0.581051689354064,38,0,False,0.0,-0.666666666666667,-0.932152506754728,-0.118761009982384,0.98019836983764,0.339196778122648,2,2.1355766764590234
24461,24461,0.579096001634968,39,0,False,0.0,-0.675099866844208,-0.947312588401697,-0.0697281782880297,0.986601380837471,0.387943047377679,2,2.371332028448954
24462,24462,0.598683568971187,40,0,False,0.0,-0.679676985195155,-0.939822294022617,-0.198895027624309,0.99381216091071,0.378151192205738,2,2.235621830089505
