fid,MS_ID,PF_Index_Risk_equal,PF_Index_population,PF_Index_acc_loss,PF_Index_centrality,Per_extent,cause_label_v2
24389,24389,0.307000884924663,0.0,0.60352309442617,0.0209573508463133,0,C_no_service
24989,24989,0.48361147212764,0.0936697731992083,0.611598432300075,0.617579250711202,0,A_one_and_only
24990,24990,0.481819367444726,0.0936697731992083,0.607872942103996,0.617861812371701,0,A_one_and_only
25187,25187,0.351573646740475,0.0,0.601857982162173,0.202578622637555,0,C_no_service
25188,25188,0.35444623306218,0.0,0.607627981485478,0.202528969277761,0,C_no_service
25189,25189,0.352327518858194,0.0,0.607389233310839,0.194531608811096,0,C_no_service
25190,25190,0.350771350363423,0.0,0.604000763850743,0.195083873752208,0,C_no_service
25191,25191,0.348707775624008,0.0,0.599476343932432,0.195878414631165,0,C_no_service
25910,25910,0.395833333333333,0.0,0.666666666666667,0.25,1,B_flood_exposed
26337,26337,0.458193947969157,0.0,0.550743843026411,0.731288105823807,0,A_one_and_only
26338,26338,0.460771652251096,0.0,0.550743843026411,0.741598922951561,0,A_one_and_only
26339,26339,0.460994754804283,0.0,0.550743843026411,0.74249133316431,0,A_one_and_only
26340,26340,0.461433296405628,0.0,0.550743843026411,0.74424549956969,0,A_one_and_only
26341,26341,0.462198812276907,0.0,0.55088389904882,0.74702745100999,0,A_one_and_only
26342,26342,0.462975484064987,0.0,0.550950968129973,0.75,0,A_one_and_only
26343,26343,0.520833333333333,0.0,0.666666666666667,0.75,1,B_flood_exposed
26344,26344,0.520833333333333,0.0,0.666666666666667,0.75,1,B_flood_exposed
26345,26345,0.520833333333333,0.0,0.666666666666667,0.75,1,B_flood_exposed
26969,26969,0.396009935274874,0.0,0.646204116706862,0.291631507685773,0,C_no_service
26970,26970,0.39645736236077,0.0,0.64577614680281,0.29427715583746,0,C_no_service
26971,26971,0.396060034664753,0.0,0.644926016540916,0.29438810557718,0,C_no_service
26972,26972,0.396230563022226,0.0,0.643996013632543,0.296930224823818,0,C_no_service
26973,26973,0.395713483123393,0.0,0.64316521606688,0.296523500359812,0,C_no_service
26974,26974,0.393441235617073,0.0,0.641047542074206,0.291669858319879,0,C_no_service
26975,26975,0.389937325894453,0.0,0.635309385533344,0.289130532511124,0,C_no_service
26976,26976,0.388665585000351,0.0,0.634911244374786,0.284839851251833,0,C_no_service
26977,26977,0.393287866208979,0.0285376877732117,0.633727184660286,0.277159407742134,0,C_no_service
26978,26978,0.391522960336694,0.02530134284468,0.638990461321198,0.262809575859701,0,C_no_service
26979,26979,0.379891533146182,0.0301159874415429,0.630285174838133,0.228879795466919,0,C_no_service
26980,26980,0.369190167240422,0.0323948056573976,0.62650394983669,0.191357963630908,0,C_no_service
26981,26981,0.366063233399975,0.0323948056573976,0.625837280503346,0.180183566935811,0,C_no_service
26982,26982,0.362985259929758,0.0323948056573976,0.625175912715397,0.16919440863084,0,C_no_service
26983,26983,0.349455560696497,0.0,0.618304650257274,0.161212942271439,0,C_no_service
26984,26984,0.347604761231868,0.0,0.618309878523372,0.153799287880727,0,C_no_service
26985,26985,0.34532613538803,0.0,0.616981898934523,0.147340743683072,0,C_no_service
26986,26986,0.321587810804983,0.0,0.616981898934523,0.0523874453508838,0,C_no_service
26987,26987,0.319999851201538,0.0,0.615953386883967,0.0480926310382181,0,C_no_service
26988,26988,0.318715334885136,0.0,0.615938602116578,0.0429841353073866,0,C_no_service
26989,26989,0.317716412516083,0.0,0.616584805231141,0.0376960396020477,0,C_no_service
26990,26990,0.316615626062623,0.0,0.616906313144652,0.0326498779611883,0,C_no_service
26991,26991,0.314887652395093,0.0,0.616061512224149,0.0274275851320718,0,C_no_service
26992,26992,0.314494106889605,0.0,0.617786869804508,0.0224026879494027,0,C_no_service
26993,26993,0.314199794392773,0.0,0.617438922692469,0.021921332186155,0,C_no_service
26994,26994,0.3149227494927,0.0,0.619238778703988,0.0212134405628248,0,C_no_service
26995,26995,0.311544873009231,0.0,0.618154230274729,0.0098710314874652,0,C_no_service
27674,27674,0.698855940044271,0.045423760177085,1.0,0.75,1,B_flood_exposed
