fid,MS_ID,TF_Index_Risk_equal
24996,24996,0.631630347938754
24997,24997,0.634801541278561
24998,24998,0.634807909553902
24999,24999,0.634819781040119
25000,25000,0.634835534761136
25001,25001,0.634855545316421
25002,25002,0.634872977264033
25003,25003,0.575383031307945
25004,25004,0.575383031307945
25005,25005,0.575383031307945
25006,25006,0.575383031307945
25007,25007,0.575383031307945
25008,25008,0.575383031307945
25009,25009,0.575383031307945
25010,25010,0.575383031307945
25011,25011,0.575383031307945
25012,25012,0.57550755624286
25013,25013,0.57550755624286
25014,25014,0.57550755624286
25015,25015,0.57550755624286
25016,25016,0.57550755624286
25024,25024,0.35746414796158
25025,25025,0.342716446932577
25026,25026,0.335045393508227
25027,25027,0.322871311456349
25028,25028,0.328150680485743
25029,25029,0.333957614646764
25030,25030,0.330552952211926
25031,25031,0.319693334746148
25032,25032,0.293983048291726
25033,25033,0.287913106396153
25034,25034,0.279794859396971
25035,25035,0.26489563467528
25036,25036,0.26167882820008
25037,25037,0.256164429056195
25062,25062,0.532665051103137
25063,25063,0.53273861732861
25064,25064,0.697477289895531
25065,25065,0.371668575115195
25066,25066,0.292316781056934
25067,25067,0.278183267542287
25068,25068,0.278718741592872
25069,25069,0.284224269134538
25070,25070,0.625
25071,25071,0.625
25072,25072,0.282084734250817
25073,25073,0.282631398709493
25074,25074,0.28187810211977
25075,25075,0.276021079982105
25076,25076,0.286151637221309
25077,25077,0.366940542957537
25078,25078,0.367815233281575
25079,25079,0.380821360310633
25080,25080,0.380969883024516
25081,25081,0.387298038411206
25084,25084,0.382703152326907
25085,25085,0.38620921615887
25086,25086,0.383058838563785
25087,25087,0.383521324036021
25088,25088,0.384291209133562
25089,25089,0.384416534963783
25090,25090,0.381355900244561
25091,25091,0.384837760741535
25092,25092,0.384998310501404
25093,25093,0.38515035210016
25094,25094,0.385553435491725
25095,25095,0.383505466827827
25096,25096,0.387599581893303
25097,25097,0.387446790638269
25098,25098,0.387530099676389
25099,25099,0.387897184951189
25100,25100,0.38561636407372
25101,25101,0.385931999422316
25102,25102,0.386334299425704
25103,25103,0.384862533814521
25104,25104,0.383632364827113
25105,25105,0.384038664358149
