PF_Index_population,PF_Index_acc_loss,PF_Index_centrality,Per_extent
0.0,0.37515557993943,0.900751870130095,0
0.0,0.646204116706862,0.291631507685773,0
0.0,0.64577614680281,0.29427715583746,0
0.0,0.644926016540916,0.29438810557718,0
0.0,0.643996013632543,0.296930224823818,0
0.0,0.64316521606688,0.296523500359812,0
0.0,0.641047542074206,0.291669858319879,0
0.0,0.635309385533344,0.289130532511124,0
0.0,0.634911244374786,0.284839851251833,0
0.0285376877732117,0.633727184660286,0.277159407742134,0
0.02530134284468,0.638990461321198,0.262809575859701,0
0.0301159874415429,0.630285174838133,0.228879795466919,0
0.0323948056573976,0.62650394983669,0.191357963630908,0
0.0323948056573976,0.625837280503346,0.180183566935811,0
0.0323948056573976,0.625175912715397,0.16919440863084,0
0.0,0.618304650257274,0.161212942271439,0
0.0,0.618309878523372,0.153799287880727,0
0.0,0.616981898934523,0.147340743683072,0
0.0,0.616981898934523,0.0523874453508838,0
0.0,0.615953386883967,0.0480926310382181,0
0.0,0.615938602116578,0.0429841353073866,0
0.0,0.616584805231141,0.0376960396020477,0
0.0,0.616906313144652,0.0326498779611883,0
0.0,0.616061512224149,0.0274275851320718,0
0.0,0.617786869804508,0.0224026879494027,0
0.0,0.617438922692469,0.021921332186155,0
0.0,0.619238778703988,0.0212134405628248,0
0.0,0.618154230274729,0.0098710314874652,0
0.0,0.356658593357793,0.73326630816163,0
0.0,0.362651720346308,0.736225096406108,0
0.0,0.372171388073223,0.739770809072427,0
0.0,0.373175030323324,0.74318279081102,0
0.0,0.375712635558132,0.746590028699577,0
0.0,0.37760368389658,0.75,0
0.045423760177085,1.0,0.75,1
0.133721616441282,1.0,0.75,1
0.133721616441282,1.0,0.75,1
0.0859853163204091,0.487160964047785,0.75,0
0.0859853163204091,0.466643175353404,0.745947505717661,0
0.0420525229788558,0.440495399781978,0.695299477352939,0
0.0420525229788558,0.412376590567743,0.684513189398308,0
0.0420525229788558,0.396872272398464,0.668261389519865,0
0.041323842536173,0.39275269835638,0.655728751612466,0
0.0,0.477239169096643,0.0515681471114563,0
0.0026580835911205,0.487289492494924,0.0479206321310634,0
0.0006254096993672,0.494708688153055,0.044561804154271,0
0.108275685284875,0.495156971008262,0.0399222280981501,0
0.0004323969539569,0.482814622906294,0.0355514472209463,0
0.0,0.464044638366479,0.164944302037645,0
0.0,0.382606149879934,0.256571914649532,0
0.68033200233342,1.0,0.5,1
0.0,0.456934039615118,0.195087448383854,0
0.0,0.434711817392895,0.194399650203825,0
0.0,0.534574780035854,0.36918310644495,0
0.0,0.533781129242203,0.37066885456477,0
0.0,0.542263500280208,0.186029162895291,0
0.0,0.542263500280208,0.186807363175116,0
0.0,0.528972118363174,0.187314506189431,0
0.0,0.528972118363174,0.186323510483995,0
0.0,0.550666698036208,0.185946038310787,0
0.0,0.550666698036208,0.183586669175134,0
0.0,0.550666698036208,0.181291840679422,0
0.0,0.550666698036208,0.17880858568168,0
0.0,0.550666698036208,0.175528129121704,0
0.0,0.550666698036208,0.139291336507978,0
0.0,0.550666698036208,0.132809634795844,0
0.0,0.550666698036208,0.125342591524688,0
0.0,0.550666698036208,0.11234653155553,0
0.0,0.550666698036208,0.0952219473316367,0
0.0,0.542021719633734,0.0870998324463537,0
0.0,0.526942354554369,0.0839319833513702,0
0.0,0.526942354554369,0.0800939553721383,0
0.0,0.51664918155201,0.0775599273189922,0
0.0,0.51664918155201,0.079238892882798,0
0.0,0.51664918155201,0.082129011758152,0
0.0,0.50308335772621,0.0823736044222162,0
0.0,0.50308335772621,0.0859364936937829,0
0.0,0.50308335772621,0.0873055015294179,0
0.0,0.50308335772621,0.0895271737831127,0
0.0,0.50308335772621,0.0903051141887492,0
0.0,0.50308335772621,0.0910504691021288,0
0.0,0.50308335772621,0.0915533515126025,0
0.0,0.50308335772621,0.0921799802252534,0
0.0,0.50308335772621,0.0954387463312419,0
0.0,0.50308335772621,0.0978502898803539,0
0.0,0.476484559943678,0.100928445009455,0
0.0,0.476484559943678,0.103332896721128,0
0.0,0.476484559943678,0.104802161721197,0
0.0,0.6138422635714,0.0153243909412983,0
0.0,0.610516518557675,0.03667243449787,0
0.0,0.605455556974974,0.0696406541773664,0
0.0,0.597058828958007,0.103667824863562,0
0.0,0.595384603209495,0.109810754671284,0
0.14925463018172,1.0,0.25,1
0.0,0.869167297898863,0.25,0
0.0847938838879482,0.866609892088247,0.244187197359275,0
0.0847938838879482,0.853971028764246,0.487280383123177,0
0.0847938838879482,0.842871255121952,0.475478581186114,0
0.02530134284468,0.632387564991579,0.699592143873219,0
0.0268624548717158,0.634057414194374,0.69996798168146,0
0.102196466376367,0.639598093009169,0.702529637990999,0
0.102196466376367,0.646096712199486,0.700426417671458,0
0.0268624548717158,0.658355781504065,0.699707065254765,0
0.0268624548717158,0.659491399250325,0.625874158419864,0
0.0,0.455511537314313,0.104099093997066,1
0.0,0.462432885766729,0.107254005956498,0
0.0,0.482370741649665,0.108665099011644,0
0.0,0.49214145039525,0.110770541121086,0
0.0,0.506919505402965,0.112219768603203,0
0.0,0.520913923346982,0.11519060848836,0
0.0,0.53608024899032,0.119423105861609,0
0.0,0.543572559782961,0.121214736464244,0
0.0,0.550440847512331,0.12310722763827,0
0.0,0.569572161370356,0.123823780870275,0
0.0,0.564842919084512,0.127700975437779,0
0.0,0.576319272165686,0.129198034285177,0
0.0,0.602633288390667,0.134323347104948,0
0.0,0.606224053740538,0.135882754892941,0
0.0,0.619423043254003,0.13885946481932,0
0.0,0.607196722014014,0.140203959849334,0
0.417093349715186,0.715639981061383,0.458195137740311,0
0.417093349715186,0.716148294508408,0.458998804626373,0
0.417093349715186,0.716659069521762,0.459598823663233,0
0.417093349715186,0.718727146348448,0.460235354769438,0
0.417093349715186,0.721125964403619,0.460865593035606,0
0.41037695247872,0.721659119342904,0.461552058447589,0
0.412017248905235,0.718492673277004,0.462026502391655,0
0.412017248905235,0.724243336505415,0.462358428771803,0
0.412017248905235,0.724784468726855,0.462764763468277,0
0.412017248905235,0.728088654866862,0.46308717539638,0
0.17890586125405,0.729484575838843,0.463358432425698,0
0.17890586125405,0.729772156550364,0.463649757619715,0
0.17890586125405,0.733418643656029,0.463947147231384,0
0.17890586125405,0.734550948087826,0.464383463009677,0
0.17890586125405,0.743088565757383,0.464702625549084,0
0.168037100236861,0.744236740763426,0.464839644221838,0
0.168037100236861,0.749288440400396,0.464853888610576,0
0.14297048282158,0.748140265394353,0.464993951062605,0
0.152872329300239,0.735163930870741,0.464953255152475,0
0.152872329300239,0.734044423454004,0.464421187699753,0
0.152872329300239,0.733488867898448,0.46401886115349,0
0.152872329300239,0.725098988084092,0.464948671043349,0
0.0,0.372424487502455,0.91614427094069,0
0.0,0.381384815819828,0.919206798909832,0
