pca_component_1,pca_component_2
-1.0886100225417343,-1.4466866813567507
-1.0881750730269162,-1.4467488952414946
-1.0881757616724617,-1.4467487967073311
-1.088174276327788,-1.4467490478925584
-1.088173551348014,-1.4467491656339475
-1.088172116852077,-1.4467493569679262
-1.0881717899341679,-1.446749409876656
-1.1950455342514499,-1.5007259071224914
-1.1950453927990663,-1.5007259312790724
-1.0879497061571066,-1.4467811505626007
-1.0879490646586092,-1.4467812425331092
-1.087947836638002,-1.4467814091342917
-1.0879453953467295,-1.4467818168089868
-1.1950455342514499,-1.5007259071224914
-1.1950455342514499,-1.5007259071224914
-1.088610612229882,-1.446686548697447
-1.0886106330054497,-1.4466865825606248
-1.0886095650420415,-1.4466868030973248
-1.0886098094289267,-1.446686713105488
-1.0886097130297345,-1.4466867974103153
-0.9592510070929717,-1.3956003558019396
-0.9592541605374484,-1.395599882500217
-0.9592539887870181,-1.3955998854760943
-1.1950455342514499,-1.5007259071224914
-1.1950455342514499,-1.5007259071224914
-1.088609757204638,-1.4466867089440245
