fid,MS_ID,kmeans_cluster,distance_to_assigned_centroid
26352,26352,4,0.6252922765562456
26353,26353,4,0.6313983068112405
26354,26354,4,0.6283709727754176
26355,26355,4,0.6299751830625168
26356,26356,4,0.6280206781805066
26357,26357,4,0.6200525191098116
26358,26358,4,0.620927252414465
26359,26359,4,0.621601109647959
26360,26360,4,0.6218459381804369
26361,26361,4,0.6212318193802656
26362,26362,4,0.6215438233382962
26363,26363,4,0.6186967938323791
26364,26364,4,0.6188734327324572
26365,26365,4,0.619031690140278
26366,26366,4,0.6157943145357448
26367,26367,4,0.6112260534787968
26368,26368,4,0.6141198184728934
26369,26369,4,0.6119684644443156
26370,26370,4,0.610770914851299
26371,26371,4,0.6101792044973793
26372,26372,4,0.6105521372585461
26373,26373,4,0.6106730716644547
26374,26374,4,0.6099027342147063
26432,26432,2,0.39881121109547374
26433,26433,2,0.4374196172397168
26434,26434,2,0.43451652464833124
26435,26435,2,0.43318006472859344
26436,26436,2,0.42216091593573885
26437,26437,2,0.34359299908506713
26438,26438,2,0.3442086488019001
26439,26439,2,0.3535680441934279
26440,26440,2,0.3555394611634905
26441,26441,2,0.3693878134156113
26442,26442,2,0.3754513050399889
26443,26443,2,0.3864490776242838
26444,26444,2,0.3900335663465563
26445,26445,2,0.39296978207965005
26446,26446,2,0.41948068209555944
26452,26452,4,0.7558112845375433
26453,26453,4,0.755861193479116
26454,26454,4,0.7558842195013434
26455,26455,4,0.7222605746935143
26456,26456,4,0.722323070943018
26457,26457,4,0.7223507522301008
26458,26458,4,0.7223779245990218
26459,26459,4,0.7224047846114056
26460,26460,4,0.7224319915099965
26461,26461,4,0.7224599145207372
26462,26462,4,0.7224887729424244
26463,26463,4,0.7225180235994286
26464,26464,4,0.7235546712204445
26465,26465,4,0.723587982535983
26466,26466,4,0.7236199662998868
26467,26467,4,0.7236512399592547
26468,26468,4,0.4518111040602848
26469,26469,4,0.4518611994611015
26470,26470,4,0.45191527919477076
26471,26471,4,0.45196548602850634
26472,26472,4,0.4520142971531689
26473,26473,4,0.4520610136429655
26474,26474,4,0.45210534733240343
26475,26475,4,0.45214742988260453
26476,26476,4,0.45218965780313497
26477,26477,4,0.452224462565995
26478,26478,4,0.4418187455255526
26479,26479,4,0.44180609683250854
26480,26480,4,0.4418028398421023
26481,26481,4,0.4418091174014995
26482,26482,4,0.44181050534858696
26658,26658,3,0.25662211467943424
26659,26659,3,0.2561826203159752
26660,26660,3,0.25660075087683143
26661,26661,3,0.25646448627014534
26662,26662,3,0.25643828633988613
26663,26663,3,0.25705219924382544
26664,26664,4,0.4690112467558072
26787,26787,1,0.8733645115194656
26788,26788,1,0.8733634611976391
26789,26789,1,0.83293906774162
26790,26790,1,0.8479080307431618
26791,26791,1,0.7881249383975735
26847,26847,1,0.5910483680372165
26848,26848,1,0.5744222122378162
26849,26849,1,0.5498147516919375
26850,26850,1,0.5931995425980903
26851,26851,1,0.6922997702979145
26852,26852,1,0.7310064977460338
26853,26853,1,0.6802247153824327
27147,27147,4,0.38468504647297047
27148,27148,4,0.38713637652673805
27195,27195,1,0.8506167452854476
