N_PFlossR_2kiw,N_PFlossR_2ktw,N_PFlossR_2kmw,PFResident_lossR,PFDaynight_lossR,PFAB5k_NOR,PFABC_NOR
0.0,-0.110864561381373,-0.183946488294314,,0.0,0.949408446897054,0.21137098825005
-0.81402733383578,-0.122579975760428,-0.215116279069767,0.0,0.0,0.973068412816526,0.213725552380822
-0.81402733383578,-0.115010834553937,-0.196428571428571,0.0,0.0,0.968407409267636,0.211322627863245
-1.0,-0.373692076772068,-0.564920273348519,0.0,0.0,0.571804526668901,0.0136114234930651
-1.0,-0.373692076772068,-0.563636363636364,0.0,0.0,0.580461598841131,0.0130002502504236
-1.0,-0.373692076772068,-0.561085972850679,0.0,0.0,0.582672852016041,0.0127792969067877
-1.0,-0.373692076772068,-0.55829596412556,0.0,0.0,0.59527916555386,0.0121938545813714
-1.0,-0.373692076772068,-0.555803571428571,0.0,0.0,0.600743576761072,0.0116892343982492
-1.0,-0.373692076772068,-0.549450549450549,0.0,0.0,0.590037382921619,0.0116560807023699
-1.0,-0.358882204740077,-0.547045951859956,0.0,0.0,0.584056867133562,0.0114646468223414
-1.0,-0.358882204740077,-0.54585152838428,0.0,0.0,0.572148221360294,0.0111390473310649
-1.0,-0.358882204740077,-0.542299349240781,-0.125,0.0,0.550397932969026,0.0106930999242244
-1.0,-0.378509845502055,-0.538461538461538,-0.11727078891258,0.0,0.510882302878887,0.0102692635815388
-1.0,-0.378509845502055,-0.512345679012346,-0.141025641025641,0.0,0.420897075936108,0.0086875217240026
-1.0,-0.378509845502055,-0.501002004008016,-0.152354570637119,0.0,0.318323250015759,0.0098151754943401
-1.0,-0.378509845502055,-0.499001996007984,-0.152354570637119,0.0,0.290811150788178,0.0097911706633369
-1.0,-0.378509845502055,-0.497017892644135,-0.152354570637119,0.0,0.265042282544418,0.0099491637340847
-1.0,-0.358882204740077,-0.496031746031746,0.0,0.0,0.24670730348676,0.0101207485435513
-1.0,-0.358882204740077,-0.49604743083004,0.0,0.0,0.229736373654319,0.0102157800011747
-1.0,-0.358882204740077,-0.492063492063492,0.0,0.0,0.214790382456913,0.0104257155169005
-1.0,-0.358882204740077,-0.492063492063492,0.0,0.0,0.0614616450572136,0.0279126050386227
-1.0,-0.358882204740077,-0.488977955911824,0.0,0.0,0.0524993306760459,0.0274605404012581
-1.0,-0.358882204740077,-0.488933601609658,0.0,0.0,0.0411536537432413,0.0269980556691079
-1.0,-0.358882204740077,-0.490872210953347,0.0,0.0,0.0295956125432125,0.0265485455077549
-1.0,-0.358882204740077,-0.491836734693878,0.0,0.0,0.0194981445044417,0.0261142341909965
-1.0,-0.352316768077407,-0.495867768595041,0.0,0.0,0.0094007147622141,0.0257065152378226
-1.0,-0.352316768077407,-0.501043841336117,0.0,0.0,0.0003211390449142,0.0253474350061147
-1.0,-0.352316768077407,-0.5,0.0,0.0,0.0123852087369332,0.0248624203427661
-1.0,-0.352316768077407,-0.505399568034557,0.0,0.0,0.0257411141922703,0.0243718616691038
-1.0,-0.352316768077407,-0.502145922746781,0.0,0.0,0.046642012993934,0.0235267202875908
0.0,-0.443153622638976,-0.626822157434402,,0.0,0.986420432952088,0.138786809227882
0.0,-0.452897689774557,-0.635057471264368,,0.0,0.988803440112596,0.138840419177103
0.0,-0.470799878505383,-0.645714285714286,,0.0,0.991697434624572,0.138462207743445
0.0,-0.470799878505383,-0.648725212464589,,0.0,0.99446020162964,0.138379883859593
0.0,-0.470799878505383,-0.656338028169014,,0.0,0.997220684474878,0.138344890217001
0.0,-0.470799878505383,-0.662011173184358,,0.0,1.0,0.138330345793842
1.0,1.0,1.0,,-1.0,1.0,0.138370266873312
1.0,1.0,1.0,-1.0,-1.0,1.0,0.138449850613979
1.0,1.0,1.0,-1.0,-1.0,1.0,0.137085626054834
-1.0,-0.259932504546456,-0.201550387596899,0.0,-1.0,1.0,0.139390288505453
-1.0,-0.223763722951403,-0.176165803108808,0.0,-1.0,0.996930210745467,0.136200561229472
-1.0,-0.181951315625005,-0.13953488372093,0.0,-0.34529582929195,0.959123588757058,0.141963627721704
-1.0,-0.142142964315367,-0.0949868073878628,0.0,-0.34529582929195,0.951174777155816,0.142366212618243
-1.0,-0.107078733657308,-0.0835380835380835,0.0,-0.34529582929195,0.938981541959644,0.144120581526932
-1.0,-0.105618869887541,-0.0726392251815981,0.0,-0.33872502378687,0.929458666730947,0.145952227173906
-1.0,-0.191611966392831,-0.240105540897098,0.0,0.0,0.004304174546324,0.122496510102281
-1.0,-0.209250676437652,-0.25261780104712,-0.0100925147182506,0.0,0.006440335309597,0.120247551919244
-1.0,-0.222114533389338,-0.262011531069827,-0.0023677979479084,0.0,0.0080329743835594,0.118893317436083
-1.0,-0.222114533389338,-0.263356379635449,-0.0098522167487684,-0.194759535655058,0.0111895414724709,0.115557948596351
-1.0,-0.216714813460414,-0.231729055258467,-0.0015873015873015,0.0,0.0162549101584574,0.11310070098594
-1.0,-0.180075703041226,-0.212058212058212,0.0,0.0,0.185307973191435,0.061346311487908
-0.81402733383578,-0.118674836734254,-0.215116279069767,0.0,0.0,1.0,0.188253580788747
-0.81402733383578,-0.111422093179723,-0.142011834319527,0.0,0.0,1.0,0.18788348164552
-0.345303878319584,-0.0055065693727508,-0.0645819170632223,0.0,-0.121480910142692,0.972240305762674,0.0062671580731627
-0.345303878319584,-0.0219948182789657,-0.0705171255876427,0.0,-0.121480910142692,0.97243760155539,0.0087014407619155
-0.345303878319584,-0.0569047854242424,-0.0727032385988103,-0.320388349514563,0.0,0.972632715069134,0.0110111575784642
0.0,-0.0569047854242424,-0.0828440965427267,-0.113793103448276,0.0,0.972855838410318,0.0141946114989483
0.0,-0.0618040207989333,-0.0833872010342599,-0.113793103448276,0.0,0.973000644131467,0.0162986888241556
0.0,-0.0618040207989333,-0.0824675324675325,-0.113793103448276,0.0,0.997091092976986,0.106905508858477
-0.345303878319584,-0.0897856514671049,-0.0781352593565332,-0.320388349514563,0.0,0.99866067111892,0.107723217432036
-0.345303878319584,-0.0897856514671049,-0.085261070720423,-0.339622641509434,-0.261588330632091,1.0,0.109323711964237
1.0,1.0,1.0,-1.0,-1.0,1.0,0.11009442553127
0.0,-0.0275109722810084,-0.0116959064327485,-0.0283018867924528,-0.28116213683224,1.0,0.113580427493659
,-0.470802118845353,-0.9,,,0.650801125557863,0.0632446758094381
,-0.470802118845353,-0.833333333333333,,,0.650532401977778,0.0624747984770017
,-0.470802118845353,-0.714285714285714,,,0.650274392532235,0.0617960365755958
,-0.470802118845353,-0.714285714285714,,,0.650030868430427,0.0610884886153164
,-0.470802118845353,-0.714285714285714,,,0.649829159667385,0.060781320240575
,-0.470802118845353,-0.714285714285714,,,0.649642532091699,0.0602422128122618
,-0.470802118845353,-0.714285714285714,,,0.649477736440079,0.0600692892534221
,-0.470802118845353,-0.714285714285714,,,0.64938578085023,0.0598504802669802
,-0.470802118845353,-0.714285714285714,,,0.649260799307966,0.0594412398020972
,-0.470802118845353,-0.714285714285714,,,0.649113272206422,0.0591746726669747
,-0.470802118845353,-0.714285714285714,,,0.648954820445755,0.05861207177713
,-0.470802118845353,-0.714285714285714,,,0.648701576838998,0.0579266479219314
,-0.390895875604833,-0.714285714285714,,,0.64824673584094,0.0542105231753856
,-0.390895875604833,-0.714285714285714,,,0.647044678446675,0.054357811221291
,-0.390895875604833,-0.714285714285714,,,0.646890483629977,0.0540063957647338
,-0.390895875604833,-0.714285714285714,,,0.646697642477585,0.053660344721982
,-0.390895875604833,-0.714285714285714,,,0.646497100312152,0.0534241098216065
,-0.390895875604833,-0.714285714285714,,,0.603502516150564,0.0355380793573877
,-0.390895875604833,-0.714285714285714,,,0.603045136800818,0.0349231486414272
,-0.651343387726608,-0.952380952380952,,,0.849063085252949,0.0118564425134331
,-0.651343387726608,-0.95,,,0.851996487444575,0.0116048784219483
,-0.676790500840623,-0.95,,,0.85486436518121,0.0113642120283459
,-0.676790500840623,-0.95,,,0.858280045303636,0.0110841103375523
,-0.636916355089522,-0.95,,,0.860209447793896,0.0105777109268606
,-0.636916355089522,-0.95,,,0.855800777967977,0.0102183116267182
,-0.702000094108624,-0.95,,,0.853446515593685,0.0094427750561092
,-0.702000094108624,-0.95,,,0.843270490518012,0.0090052932580776
,-0.702000094108624,-0.95,,,0.833479205149798,0.0086783650109124
,-0.702000094108624,-0.95,,,0.822795619580178,0.0083018262967802
,-0.702000094108624,-0.95,,,0.80854471412334,0.0077714600612087
,-0.702000094108624,-0.95,,,0.645779647174888,0.0061069852799305
,-0.702000094108624,-0.95,,,0.614472362826134,0.005856508007283
,-0.702000094108624,-0.95,,,0.579300251143106,0.0055376864641138
,-0.702000094108624,-0.95,,,0.520248316417844,0.0049610157634834
,-0.702000094108624,-0.95,,,0.446336064396736,0.0046540409313315
,-0.676065158901202,-0.95,,,0.419303368950771,0.0048918863618562
,-0.676065158901202,-0.904761904761905,,,0.40929538943463,0.0050132678097523
,-0.676065158901202,-0.904761904761905,,,0.394931552730253,0.0050134110365034
,-0.645185639894125,-0.904761904761905,,,0.391141475682532,0.0050771124391574
,-0.645185639894125,-0.904761904761905,,,0.418816024463023,0.0055032411992969
,-0.645185639894125,-0.904761904761905,,,0.44949577935308,0.0061453515340923
,-0.604488168416725,-0.904761904761905,,,0.465106724084916,0.0065815063266107
,-0.604488168416725,-0.904761904761905,,,0.494021186291354,0.0076373626744685
,-0.604488168416725,-0.904761904761905,,,0.50747025216039,0.008310771319314
,-0.604488168416725,-0.904761904761905,,,0.521589529713692,0.0091573184410727
,-0.604488168416725,-0.904761904761905,,,0.52723213015581,0.0095590272050431
