street_id,cluster_id_PF,cluster_id_TF,is_conflict
2080,24,18,True
2081,23,-1,True
2082,21,20,True
2084,24,21,True
2085,17,20,True
2086,20,22,True
2088,20,19,True
2089,25,22,True
2090,20,24,True
2092,21,19,True
2093,19,17,True
2094,19,18,True
2095,25,24,True
2096,20,22,True
2097,20,23,True
2098,23,22,True
2099,20,24,True
2100,25,22,True
2101,24,17,True
2102,20,18,True
2103,24,23,True
2105,18,25,True
2106,20,21,True
2108,21,19,True
2109,24,25,True
2110,18,22,True
2111,24,25,True
2113,22,19,True
2114,18,25,True
2115,19,20,True
2117,-1,24,True
2118,23,18,True
2119,22,19,True
2120,20,22,True
2121,18,21,True
2123,24,22,True
2124,24,19,True
2125,19,17,True
2127,25,24,True
2128,19,20,True
2129,19,20,True
2131,23,17,True
2132,22,20,True
2133,21,19,True
2134,25,22,True
2135,19,-1,True
2136,21,19,True
2137,20,22,True
2138,22,21,True
2139,19,-1,True
2140,18,17,True
2142,24,21,True
2143,25,20,True
2144,24,21,True
2145,25,20,True
2146,18,21,True
2147,19,18,True
2148,22,21,True
2150,20,25,True
2151,24,18,True
2152,22,17,True
2153,20,25,True
2154,8,7,True
2155,8,7,True
2156,8,7,True
2157,8,7,True
2158,8,7,True
2159,8,7,True
2160,8,7,True
2161,8,7,True
2162,8,7,True
2163,8,7,True
2164,8,7,True
2165,8,7,True
2166,19,20,True
2168,18,19,True
2169,22,21,True
2170,23,18,True
2171,19,25,True
2172,-1,21,True
2173,-1,21,True
2174,-1,22,True
2175,-1,23,True
2176,-1,21,True
2177,-1,23,True
2178,-1,23,True
2179,-1,18,True
2180,-1,22,True
2181,-1,20,True
2182,-1,20,True
2183,-1,25,True
2184,-1,18,True
2234,-1,25,True
2235,-1,23,True
2236,-1,19,True
2237,-1,25,True
2238,-1,20,True
2239,-1,21,True
2240,-1,17,True
2241,-1,22,True
2242,-1,24,True
2243,-1,18,True
2244,-1,19,True
2245,-1,24,True
2246,-1,25,True
2247,-1,17,True
2248,-1,20,True
2249,-1,23,True
2250,-1,24,True
2251,24,22,True
3029,8,7,True
3030,8,7,True
3031,8,7,True
3032,8,7,True
3033,8,7,True
3034,8,7,True
3035,8,7,True
3036,8,7,True
3037,8,7,True
3038,8,7,True
3039,8,7,True
3040,8,7,True
3041,8,7,True
3042,8,7,True
3043,8,7,True
3044,8,7,True
3045,8,7,True
3046,8,7,True
3047,8,7,True
3048,8,7,True
3049,8,7,True
3050,8,7,True
3051,8,7,True
3052,8,7,True
3053,8,7,True
3054,8,7,True
3055,8,7,True
3056,8,7,True
3057,8,7,True
3058,8,7,True
3059,8,7,True
3060,8,7,True
3061,8,7,True
3062,8,7,True
3063,8,7,True
3064,8,7,True
3065,8,7,True
3066,8,7,True
3067,8,7,True
3068,8,7,True
3069,8,7,True
3070,8,7,True
3071,8,7,True
3072,8,7,True
3073,8,7,True
3074,8,7,True
3075,8,7,True
3076,8,7,True
3077,8,7,True
3078,8,7,True
3079,8,7,True
3317,20,19,True
3318,22,21,True
3319,17,25,True
3320,23,24,True
3321,20,24,True
3322,18,20,True
3323,25,20,True
3391,18,19,True
3392,17,23,True
3393,18,23,True
3394,20,23,True
3395,19,21,True
3396,21,17,True
3397,23,21,True
3401,16,21,True
3402,16,18,True
3403,16,25,True
3404,16,18,True
3405,16,21,True
3406,16,22,True
3443,22,21,True
3444,24,21,True
3445,-1,25,True
3446,25,19,True
3448,21,22,True
3449,25,24,True
3451,22,19,True
3452,19,20,True
3453,-1,17,True
3454,22,17,True
3455,18,19,True
3456,24,21,True
3457,18,21,True
3458,20,19,True
3540,23,19,True
3541,24,25,True
3542,18,25,True
3556,16,25,True
3557,16,20,True
3558,22,19,True
3559,19,25,True
3560,20,21,True
3561,23,18,True
3563,18,25,True
3565,22,18,True
3566,22,21,True
3568,-1,17,True
3569,22,18,True
3570,24,20,True
3571,17,22,True
3573,19,18,True
3574,23,21,True
