street_id,cluster_id_PF,cluster_id_TF,is_conflict
1264,6,4,True
1265,6,4,True
1266,6,4,True
1267,6,4,True
1427,4,1,True
1428,4,1,True
1429,4,1,True
1430,4,1,True
1431,4,1,True
1432,4,1,True
1433,4,1,True
1434,4,1,True
1435,4,1,True
1436,4,1,True
1437,4,1,True
2068,11,10,True
2069,12,10,True
2070,12,9,True
2071,11,8,True
2072,10,8,True
2073,11,8,True
2074,12,-1,True
2075,11,8,True
2076,12,-1,True
2077,11,8,True
2078,12,10,True
2079,11,8,True
2080,11,8,True
2081,10,8,True
2082,12,10,True
2083,12,10,True
2084,11,9,True
2086,12,10,True
2087,12,9,True
2088,12,9,True
2089,12,10,True
2090,12,10,True
2091,12,10,True
2092,12,9,True
2093,11,8,True
2094,11,8,True
2095,12,10,True
2096,12,10,True
2097,12,8,True
2099,12,10,True
2100,12,10,True
2101,11,8,True
2102,12,8,True
2103,11,8,True
2104,11,8,True
2105,11,9,True
2106,12,9,True
2107,12,9,True
2108,12,9,True
2109,11,9,True
2110,11,10,True
2111,11,9,True
2112,10,8,True
2113,10,9,True
2114,11,9,True
2115,11,10,True
2116,12,10,True
2117,-1,10,True
2118,10,8,True
2119,10,9,True
2120,12,10,True
2121,11,9,True
2122,11,8,True
2123,11,10,True
2124,11,9,True
2125,11,8,True
2126,11,10,True
2127,12,10,True
2128,11,10,True
2129,11,10,True
2130,10,8,True
2131,10,8,True
2133,12,9,True
2134,12,10,True
2135,11,-1,True
2136,12,9,True
2137,12,10,True
2138,10,9,True
2139,11,8,True
2140,11,8,True
2141,11,10,True
2142,11,9,True
2143,12,10,True
2144,11,9,True
2145,12,10,True
2146,11,9,True
2147,11,8,True
2148,10,9,True
2149,11,8,True
2150,12,9,True
2151,11,8,True
2152,10,8,True
2153,12,9,True
2154,6,4,True
2155,6,4,True
2156,6,4,True
2157,6,4,True
2158,6,4,True
2159,6,4,True
2160,6,4,True
2161,6,4,True
2162,6,4,True
2163,6,4,True
2164,6,4,True
2165,6,4,True
2166,11,10,True
2167,12,9,True
2168,11,9,True
2169,10,9,True
2170,10,8,True
2171,11,9,True
2172,-1,9,True
2173,-1,9,True
2174,-1,10,True
2175,-1,8,True
2176,-1,9,True
2177,-1,8,True
2178,-1,8,True
2179,-1,8,True
2180,-1,10,True
2181,-1,10,True
2182,-1,10,True
2183,-1,9,True
2184,-1,8,True
2185,4,1,True
2186,4,1,True
2187,4,1,True
2188,4,1,True
2189,4,1,True
2190,4,1,True
2191,4,1,True
2192,4,1,True
2193,4,1,True
2194,4,1,True
2195,4,1,True
2196,4,1,True
2197,4,1,True
2198,4,1,True
2199,4,1,True
2200,4,1,True
2201,4,1,True
2202,4,1,True
2203,4,1,True
2204,4,1,True
2205,4,1,True
2206,4,1,True
2207,4,1,True
2208,4,1,True
2209,4,1,True
2210,4,1,True
2211,4,1,True
2212,4,1,True
2213,4,1,True
2214,4,1,True
2215,4,1,True
2216,4,1,True
2217,4,1,True
2218,4,1,True
2219,4,1,True
2220,4,1,True
2221,4,1,True
2222,4,1,True
2223,4,1,True
2224,4,1,True
2225,4,1,True
2226,4,1,True
2227,4,1,True
2228,4,1,True
2229,4,1,True
2230,4,1,True
2231,4,1,True
2232,4,1,True
2233,4,1,True
2234,-1,9,True
2235,-1,8,True
2236,-1,9,True
2237,-1,9,True
2238,-1,10,True
2239,-1,9,True
2240,-1,8,True
2241,-1,10,True
2242,-1,10,True
2243,-1,8,True
2244,-1,9,True
2245,-1,10,True
2246,-1,9,True
2247,-1,8,True
2248,-1,10,True
2249,-1,8,True
2250,-1,10,True
2251,11,10,True
3029,6,4,True
3030,6,4,True
3031,6,4,True
3032,6,4,True
3033,6,4,True
3034,6,4,True
3035,6,4,True
3036,6,4,True
3037,6,4,True
3038,6,4,True
3039,6,4,True
3040,6,4,True
3041,6,4,True
3042,6,4,True
3043,6,4,True
3044,6,4,True
3045,6,4,True
3046,6,4,True
3047,6,4,True
3048,6,4,True
3049,6,4,True
3050,6,4,True
3051,6,4,True
3052,6,4,True
3053,6,4,True
3054,6,4,True
3055,6,4,True
3056,6,4,True
3057,6,4,True
3058,6,4,True
3059,6,4,True
3060,6,4,True
