street_id,cluster_id_PF,cluster_id_TF,is_conflict
2234,-1,10,True
2235,-1,10,True
2236,-1,8,True
2237,-1,10,True
2238,-1,8,True
2239,-1,9,True
2240,-1,-1,False
2241,-1,9,True
2242,-1,10,True
2243,-1,-1,False
2244,-1,8,True
2245,-1,10,True
2246,-1,10,True
2247,-1,-1,False
2248,-1,8,True
2249,-1,10,True
2250,-1,10,True
2251,13,9,True
3029,6,4,True
3030,6,4,True
3031,6,4,True
3032,6,4,True
3033,6,4,True
3034,6,4,True
3035,6,4,True
3036,6,4,True
3037,6,4,True
3038,6,4,True
3039,6,4,True
3040,6,4,True
3041,6,4,True
3042,6,4,True
3043,6,4,True
3044,6,4,True
3045,6,4,True
3046,6,4,True
3047,6,4,True
3048,6,4,True
3049,6,4,True
3050,6,4,True
3051,6,4,True
3052,6,4,True
3053,6,4,True
