street_id,cluster_id_version_a,cluster_id_version_b,is_conflict
7704,10,12,True
7705,4,2,True
7841,4,2,True
7842,-1,10,True
7844,13,10,True
7845,4,2,True
7846,4,2,True
7849,10,12,True
7850,12,11,True
7851,12,11,True
7852,4,2,True
7883,14,10,True
7884,14,10,True
7990,10,12,True
7991,13,11,True
7992,10,12,True
7993,12,11,True
7994,14,10,True
7995,10,12,True
7996,13,10,True
7997,10,12,True
7999,4,2,True
8000,4,2,True
8002,13,11,True
8003,12,11,True
8138,14,10,True
8139,10,12,True
8141,13,11,True
8142,13,11,True
8143,-1,10,True
8144,13,10,True
8158,4,2,True
8373,14,10,True
8374,13,12,True
8375,4,2,True
8376,13,11,True
8377,13,11,True
8378,14,10,True
8386,4,2,True
8387,4,2,True
8388,12,11,True
8389,14,10,True
8390,13,12,True
8391,4,2,True
8463,4,2,True
8464,4,2,True
8471,4,2,True
8472,12,11,True
8473,4,2,True
8474,14,10,True
8475,13,12,True
8476,4,2,True
8477,13,11,True
8479,13,12,True
8480,-1,10,True
8481,13,12,True
8483,13,10,True
8484,13,12,True
8486,13,11,True
8487,4,2,True
8495,13,11,True
8588,4,2,True
8593,-1,10,True
8594,10,12,True
8595,13,11,True
8596,4,2,True
8598,10,12,True
8599,12,11,True
8613,14,10,True
8614,4,2,True
8615,4,2,True
8763,13,12,True
8764,10,12,True
8765,13,10,True
8766,-1,10,True
8767,14,10,True
8769,14,10,True
8770,14,10,True
8771,14,10,True
8772,-1,10,True
8773,13,11,True
8774,13,12,True
8775,-1,10,True
8776,10,12,True
8777,4,2,True
8778,4,2,True
8779,4,2,True
8788,4,2,True
8791,10,12,True
8792,4,2,True
8793,13,12,True
8794,4,2,True
8795,4,2,True
8949,4,2,True
8950,13,12,True
8971,4,2,True
9100,13,10,True
9101,14,10,True
9102,12,11,True
9103,4,2,True
9104,4,2,True
9105,4,2,True
9131,4,2,True
9294,12,11,True
9295,13,12,True
9296,-1,12,True
9297,13,10,True
9298,4,2,True
9299,2,4,True
9300,2,4,True
9301,2,4,True
9302,2,4,True
9303,2,4,True
9304,2,4,True
9305,2,4,True
9306,4,2,True
9307,14,10,True
9311,4,2,True
9312,-1,10,True
9313,13,11,True
9314,14,10,True
9315,10,12,True
9316,4,2,True
9318,13,10,True
9319,14,10,True
9320,13,11,True
9321,13,10,True
9323,10,12,True
9324,13,12,True
9325,10,12,True
9327,13,12,True
9328,13,11,True
9329,-1,10,True
9330,4,2,True
9425,12,11,True
9426,14,10,True
9427,4,2,True
9440,14,10,True
9444,13,12,True
9445,-1,10,True
9446,12,11,True
9447,4,2,True
9448,10,12,True
9449,13,10,True
9450,10,12,True
9454,12,11,True
9455,13,10,True
9456,13,10,True
9458,12,11,True
9459,-1,10,True
9460,10,12,True
9461,13,10,True
9462,10,12,True
9463,4,2,True
9465,4,2,True
9557,4,2,True
9562,14,10,True
9563,13,12,True
9564,14,10,True
9565,13,12,True
9567,13,12,True
9568,13,12,True
9569,13,12,True
9570,4,2,True
9571,4,2,True
9572,13,12,True
9573,4,2,True
9575,2,4,True
9576,2,4,True
9577,2,4,True
9578,2,4,True
9579,2,4,True
9580,13,11,True
9581,13,10,True
9582,10,12,True
9583,13,10,True
9714,14,10,True
9715,10,12,True
9716,4,2,True
9717,14,10,True
9718,13,11,True
9719,-1,10,True
9720,4,2,True
9722,-1,10,True
9723,13,11,True
9724,10,12,True
9725,-1,10,True
9727,10,12,True
9729,13,12,True
9730,-1,10,True
9731,10,12,True
9732,-1,10,True
9733,13,10,True
9735,4,2,True
9741,-1,12,True
9742,4,2,True
9863,12,11,True
9865,12,11,True
9866,14,10,True
9868,13,10,True
9869,4,2,True
9870,4,2,True
9871,4,2,True
9872,4,2,True
10001,4,2,True
10006,4,2,True
10007,4,2,True
10008,4,2,True
10009,4,2,True
10010,4,2,True
10012,13,10,True
10120,4,2,True
10121,4,2,True
10122,12,11,True
10123,10,12,True
10124,4,2,True
10125,13,10,True
10127,4,2,True
10128,2,4,True
10129,2,4,True
10130,2,4,True
10213,4,2,True
10228,4,2,True
10450,-1,10,True
10451,10,12,True
10452,10,12,True
10453,12,11,True
10454,12,11,True
10457,12,11,True
10460,13,11,True
10461,10,12,True
10462,13,11,True
10464,-1,10,True
10465,12,11,True
10466,10,12,True
10467,10,12,True
10474,4,2,True
10598,4,2,True
10599,10,12,True
10600,4,2,True
10601,4,2,True
10602,10,12,True
10603,-1,10,True
10604,13,12,True
10605,-1,10,True
10606,14,10,True
10610,4,2,True
10611,10,12,True
10612,10,12,True
10613,-1,10,True
10728,14,10,True
10729,10,12,True
10730,-1,10,True
10731,4,2,True
10734,10,12,True
10735,4,2,True
10741,4,2,True
10743,10,12,True
10744,10,12,True
10746,13,12,True
10747,4,2,True
10819,10,12,True
10820,13,11,True
10821,13,12,True
10822,13,12,True
10824,4,2,True
10825,-1,10,True
10826,10,12,True
10827,10,-1,True
10928,12,11,True
10929,13,11,True
10932,13,12,True
10933,13,12,True
10934,13,12,True
10935,13,11,True
10937,13,11,True
10938,13,12,True
10939,10,12,True
10940,14,10,True
10941,12,11,True
10942,-1,10,True
10943,14,10,True
10944,13,12,True
10945,-1,10,True
10946,14,10,True
10947,10,12,True
10948,13,12,True
10949,14,10,True
10951,10,12,True
10953,13,10,True
10954,13,10,True
10955,14,10,True
10956,14,10,True
10957,12,11,True
10958,13,12,True
10959,-1,10,True
10960,13,11,True
10961,10,12,True
10962,-1,10,True
10964,13,11,True
10965,10,12,True
10966,14,10,True
10967,10,12,True
10969,4,2,True
10970,4,2,True
10975,4,2,True
10981,4,2,True
11165,13,12,True
11166,12,11,True
11167,13,12,True
11168,12,11,True
11169,13,11,True
11170,13,12,True
11171,10,12,True
11172,10,12,True
11173,13,11,True
11174,14,10,True
11175,13,12,True
11176,13,10,True
11177,13,10,True
11178,12,11,True
11179,10,12,True
11205,10,12,True
11206,13,10,True
11207,10,12,True
11208,4,2,True
11237,14,10,True
11238,14,10,True
11285,4,2,True
11286,4,2,True
11330,12,11,True
11331,14,10,True
11333,10,12,True
11334,10,12,True
11384,-1,10,True
11385,13,12,True
11386,10,12,True
11387,13,11,True
11388,4,2,True
11447,12,11,True
11449,13,10,True
11451,13,11,True
11452,13,10,True
11453,4,2,True
11454,14,10,True
11455,13,11,True
11456,-1,10,True
11457,4,2,True
11458,13,12,True
11827,12,11,True
11828,-1,10,True
11829,4,2,True
11833,14,10,True
11834,4,2,True
11835,12,11,True
11836,13,11,True
11837,4,2,True
11838,4,2,True
11977,10,12,True
11978,14,10,True
12002,13,10,True
12004,14,10,True
