fid,MS_ID,kmeans_cluster,distance_to_assigned_centroid
25193,25193,4,0.19727393174016275
25194,25194,4,0.19635732182230844
25195,25195,1,0.5832015454095334
25196,25196,1,0.5506949828270374
25197,25197,1,0.5136006437380575
25198,25198,4,0.05719575562690519
25199,25199,4,0.05663799971425256
25200,25200,4,0.05801914467886911
25201,25201,4,0.05917210374108857
25212,25212,2,0.5223434267670961
25213,25213,2,0.5223538920521072
25214,25214,4,0.06450068056702041
25215,25215,2,0.33696245564404553
25519,25519,3,0.24401769771491136
25520,25520,3,0.24626175337665374
25521,25521,3,0.2862607603566258
25522,25522,3,0.2875340213657791
25523,25523,3,0.28856952649983675
25524,25524,3,0.2887507276487721
25525,25525,3,0.28945889839550987
25526,25526,3,0.2900058220810948
25527,25527,3,0.2911862358422861
25528,25528,3,0.29265576015410644
25529,25529,3,0.2927361456645698
25619,25619,4,0.12254345389713474
25620,25620,4,0.12346408006252427
25621,25621,4,0.12455706754187995
25622,25622,4,0.12466903413364377
25623,25623,4,0.12410144316392344
25624,25624,4,0.12452718961671491
25625,25625,4,0.12483414448710221
25626,25626,4,0.12453470774999903
25627,25627,4,0.1233084965064665
25683,25683,3,0.5541877787658258
25731,25731,4,0.04639672939599706
25732,25732,4,0.0457078373804152
25733,25733,4,0.04084935327505683
25734,25734,4,0.03946704230153581
25735,25735,4,0.039483440851674254
25736,25736,4,0.03965233660289342
25737,25737,4,0.036139968502151884
25738,25738,4,0.03685073623820993
25739,25739,4,0.034499955734041764
25740,25740,4,0.032900749921142274
25741,25741,4,0.027107478874102565
25742,25742,4,0.024360840882852775
25743,25743,4,0.024227927499256077
25744,25744,4,0.023781537400769017
26074,26074,4,0.09339425168021953
26075,26075,4,0.09390906682521245
26076,26076,4,0.09476586250219014
26077,26077,4,0.09593506171998165
26078,26078,2,0.7823866974748116
26079,26079,2,0.7824931802213644
26080,26080,2,0.782643424201992
26081,26081,2,0.7828396622348927
26082,26082,2,0.886857668397094
26083,26083,2,0.8871971403167439
26084,26084,2,0.8879303204824143
26085,26085,2,0.8879366077580149
26304,26304,4,0.05432521465757795
26305,26305,4,0.05354145599424888
26347,26347,3,0.616873328849654
26348,26348,3,0.6188616190133447
26349,26349,3,0.6203268907780852
26350,26350,3,0.6278089225098308
26351,26351,3,0.6307454221018709
26352,26352,3,0.6313093635540366
26353,26353,3,0.6373510255380633
26354,26354,3,0.6343485755884811
26355,26355,3,0.6359295596220633
26356,26356,3,0.6338231963438646
26357,26357,3,0.6259541283526401
26358,26358,3,0.6268443199220843
26359,26359,3,0.62750624824313
26360,26360,3,0.6277131766120859
26361,26361,3,0.6270347065142339
26362,26362,3,0.6272762440879884
26363,26363,3,0.624376217721126
26364,26364,3,0.6244927866452371
26365,26365,3,0.6245898309548559
26366,26366,3,0.6213157635311106
26367,26367,3,0.6166919128874231
26368,26368,3,0.6194271067201321
26369,26369,3,0.6171698288148391
26370,26370,3,0.615824174595921
26371,26371,3,0.615035729990998
26372,26372,3,0.6152238385893203
26373,26373,3,0.6153204037311808
26374,26374,3,0.6143457391029367
26432,26432,1,0.3644284460281117
26433,26433,1,0.4286012426095072
26434,26434,1,0.4272915837133815
26435,26435,1,0.4266138932103467
26436,26436,1,0.416549796452898
26437,26437,1,0.3663538150052168
26438,26438,1,0.365009743099838
26439,26439,1,0.36286035375569126
26440,26440,1,0.3614732473962893
26441,26441,1,0.3627529339419321
26442,26442,1,0.3710128960705678
26443,26443,1,0.3798327152660015
26444,26444,1,0.37992548067890425
26445,26445,1,0.38006927643850175
26446,26446,1,0.40129020908738383
26452,26452,3,0.8322350700472511
26453,26453,3,0.8323262837459428
26454,26454,3,0.8323371557158049
26455,26455,3,0.8018120992346753
26456,26456,3,0.8019312732336693
