street_id,pca_component_1,pca_component_2
2169,-0.5187136066799289,-0.29702625587769815
2170,-0.5187135261895688,-0.2970263065232576
2171,-0.5187135426464906,-0.2970262910323308
2172,-0.5187136066799289,-0.29702625587769815
2173,-0.5187136066799289,-0.29702625587769815
2174,-0.5187136007126623,-0.2970262592622971
2175,-0.5187134580942183,-0.2970263442270981
2176,-0.5187136066799289,-0.29702625587769815
2177,-0.5187134566933843,-0.2970263451057905
2178,-0.5187134544313261,-0.29702634651126814
2179,-0.5187135191193669,-0.2970263109719187
2180,-0.5187136004007368,-0.2970262594392194
2181,-0.5187135913138873,-0.29702626355239625
2182,-0.5187135926646632,-0.297026263308234
2183,-0.518713542425698,-0.29702629115354684
2184,-0.5187135616701282,-0.2970262841984379
2185,-0.45957130423890635,-0.3140087894138174
2186,-0.45957123852996673,-0.3140088293466004
2187,-0.4595711583243718,-0.31400886975802045
2188,-0.4595712910875693,-0.31400879631439776
2189,-0.45957130423890635,-0.3140087894138174
2190,-0.45957130423890635,-0.3140087894138174
2191,-0.45957115840138846,-0.31400886971561315
2192,-0.4595711796398854,-0.31400886205147016
2193,-0.45957130423890635,-0.3140087894138174
2194,-0.4595711799427865,-0.31400886186373533
2195,-0.4595712458864516,-0.314008821551236
2196,-0.45957122696641295,-0.3140088352586514
2197,-0.4595712911135368,-0.3140087963007725
2198,-0.45957115273289517,-0.3140088846490908
2199,-0.45957103574661234,-0.3140089411677256
2200,-0.45957110887398384,-0.31400890087775657
2201,-0.45957110926163863,-0.31400890063899894
2202,-0.45957128602613206,-0.3140088004304433
2203,-0.4595711409046976,-0.3140088803305406
2204,-0.45957128218191756,-0.3140088017064158
2205,-0.459571183598493,-0.3140088595902499
2206,-0.45957130423890635,-0.3140087894138174
2207,-0.45957130423890635,-0.3140087894138174
2208,-0.45957130423890635,-0.3140087894138174
2209,-0.4595712911853917,-0.3140087962630698
2210,-0.4595711994469632,-0.3140088539298268
2211,-0.45957123191451144,-0.31400882923744355
2212,-0.4595712144534486,-0.31400884585212335
2213,-0.459571215588752,-0.31400883911806377
2214,-0.45957130423890635,-0.3140087894138174
2215,-0.4595712912372504,-0.31400879623585926
2216,-0.4595712753759456,-0.3140088058308674
2217,-0.4595712194511473,-0.3140088427106163
2218,-0.4595712322789349,-0.31400882903678284
2219,-0.45957119556750103,-0.31400885503059356
2220,-0.4595711278645629,-0.31400889893572004
2221,-0.45957122354750696,-0.31400884013568264
2222,-0.4595712245792622,-0.3140088394871309
2223,-0.4595712638633326,-0.3140088117652967
2224,-0.45957108354462994,-0.3140089169805439
2225,-0.4595712148079456,-0.31400884429023285
2226,-0.4595712287351229,-0.3140088368747954
2227,-0.45957130423890635,-0.3140087894138174
2228,-0.4595711595395586,-0.31400887481319206
2229,-0.4595712062675118,-0.3140088448121084
2230,-0.4595712782230108,-0.31400880412253696
2231,-0.45957129123195384,-0.31400879728152215
2232,-0.45957123341125383,-0.31400882841329963
2233,-0.4595711645579643,-0.314008871692261
2234,-0.5187135094441552,-0.2970263092605555
2235,-0.5187134602759363,-0.29702634009818696
2236,-0.5187135997492683,-0.29702625900320895
2237,-0.5187134045384126,-0.29702636685425865
2238,-0.5187135959910235,-0.29702626111382774
2239,-0.5187136066799289,-0.29702625587769815
2240,-0.5187135479051639,-0.2970262915580902
2241,-0.5187135992767353,-0.29702626007674654
2242,-0.5187135489771842,-0.29702628762480715
2243,-0.5187135539466345,-0.2970262890581584
2244,-0.5187136028336686,-0.29702625761224105
2245,-0.5187135430657149,-0.2970262909394583
2246,-0.5187134931193358,-0.29702631822295145
2247,-0.5187135498119875,-0.29702629094736627
2248,-0.5187135988720355,-0.2970262598356919
