fid,MS_ID,PF_Index_Risk_equal,source_row_position,structural_null_count,had_structural_null,N_PFlossR_2kiw,N_PFlossR_2ktw,N_PFlossR_2kmw,PFResident_lossR,PFDaynight_lossR,PFAB5k_NOR,PFABC_NOR,kmeans_cluster,distance_to_assigned_centroid
24352,24352,0.548785565188144,11,0,False,-1.0,-0.434963795576291,-0.513888888888889,-0.435967302452316,0.0,0.845484746768973,0.477870875636562,3,3.7084237718795547
24353,24353,0.377933038863419,12,0,False,-1.0,-0.282405294627679,-0.553695955369595,0.0,0.0,0.290047142697472,0.108605871682548,2,0.9447914761770928
24354,24354,0.37687297814963,13,0,False,-1.0,-0.269637823590557,-0.55316091954023,0.0,0.0,0.291565418559392,0.108551703442003,2,0.9370440756299956
24355,24355,0.378680468390722,14,0,False,-1.0,-0.269637823590557,-0.554896142433234,0.0,0.0,0.292866619702278,0.110314268686323,2,0.9392671939349879
24356,24356,0.384593794912328,15,0,False,-1.0,-0.284965704741348,-0.556390977443609,0.0,0.0,0.298443929534926,0.107750339213415,2,0.9259050773761854
24357,24357,0.383394834472747,16,0,False,-1.0,-0.284965704741348,-0.54375,0.0,0.0,0.299843288245226,0.107472980230761,2,0.9045206357281595
24358,24358,0.382611839838303,17,0,False,-1.0,-0.284965704741348,-0.530645161290323,0.0,0.0,0.30138913934374,0.109091668722047,2,0.8861567033371822
24359,24359,0.382446898263781,18,0,False,-1.0,-0.284965704741348,-0.523411371237458,0.0,0.0,0.30243527918714,0.110637112456567,2,0.8772831354208316
24360,24360,0.379942676028189,19,0,False,-1.0,-0.276696078015419,-0.512820512820513,0.0,0.0,0.303168360948663,0.111641450258033,2,0.8620516429566168
24361,24361,0.380015186207396,20,0,False,-1.0,-0.285281209279445,-0.5,0.0,0.0,0.30461239134473,0.112114531762654,2,0.8465959809907878
24362,24362,0.390722418334932,21,0,False,-1.0,-0.333312806304928,-0.492932862190813,0.0,0.0,0.307801697738952,0.125098041830205,2,0.892813826926603
24363,24363,0.395105645094585,22,0,False,-1.0,-0.361690803081575,-0.486535008976661,0.0,0.0,0.308797115803791,0.127638744572863,2,0.9149125778008412
24387,24387,0.313879902202506,23,0,False,-1.0,-0.348272877797924,-0.481617647058824,0.0,0.0,0.0515766941180712,0.158247888666398,2,1.7384363157721172
24388,24388,0.316293038122735,24,0,False,-1.0,-0.358089967102177,-0.480300187617261,0.0,0.0,0.0553419254912078,0.1580259498787,2,1.729880451138519
24389,24389,0.312240222636242,25,0,False,-1.0,-0.33056928327851,-0.48,0.0,0.0,0.0577074013918304,0.157886350925415,2,1.7112373515630284
24986,24986,0.369017302974054,26,0,False,0.0,-0.399638646476849,-0.469827586206897,0.0,-0.272926062593959,0.888366293778307,0.428096681726643,1,3.618053101621241
24987,24987,0.369742230298405,27,0,False,0.0,-0.406064562236747,-0.467248908296943,0.0,-0.272926062593959,0.888723664556648,0.426678506904946,1,3.6038368915943266
24988,24988,0.375180245814308,28,0,False,0.0,-0.422143877429478,-0.449074074074074,0.0,-0.345621322256836,0.893510254364567,0.397634664915736,1,3.459328053832255
24989,24989,0.535076409686907,29,0,False,-1.0,-0.393618826311989,-0.441176470588235,0.0,-0.345621322256836,0.892562901311227,0.398585286147823,3,3.3421858573893743
24990,24990,0.533307851809034,30,0,False,-1.0,-0.393618826311989,-0.43,0.0,-0.345621322256836,0.892919438179061,0.39734987092186,3,3.3336135995507803
24996,24996,0.406600851561625,31,1,True,0.0,-0.481820748288542,-0.653005464480874,,0.0,0.902008512017423,0.0884459290834247,1,0.571097535339679
24997,24997,0.397798719988112,32,1,True,0.0,-0.452897689774557,-0.637142857142857,,0.0,0.894000371478285,0.0861963762774596,1,0.5640186434597647
24998,24998,0.394411661352711,33,1,True,0.0,-0.443153622638976,-0.631123919308357,,0.0,0.889069974847468,0.0840105042443519,1,0.5581574599774576
24999,24999,0.392628225859364,34,1,True,0.0,-0.443153622638976,-0.624633431085044,,0.0,0.884314504097985,0.0815194008875436,1,0.5396244788947544
25000,25000,0.384751548590604,35,1,True,0.0,-0.411596675093908,-0.614457831325301,,0.0,0.878467394434072,0.0791445411451641,1,0.5671251618328988
25001,25001,0.367017153392623,36,1,True,0.0,-0.365480653192261,-0.560606060606061,,0.0,0.872153462750915,0.076951275343223,1,0.5998874509360622
25002,25002,0.364058649859851,37,1,True,0.0,-0.365480653192261,-0.55045871559633,,0.0,0.865615611444689,0.0755568371009561,1,0.5916157574309991
25003,25003,0.351657460877193,38,1,True,0.0,-0.332977568020636,-0.513846153846154,,0.0,0.860840766297122,0.0739407323208546,1,0.6482993741350926
