fid,MS_ID,PF_Index_Risk_equal,source_row_position,structural_null_count,had_structural_null,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
24351,24351,0.574620137435449,10,0,False,0.4483215610205078,0.2435659679879826,-2.1535412601920902,3.8125372721344397,0.20767894296847522,-1.6163689848474372,-0.5470919878212714,0.8959915787466132,-0.09820279682386371,-0.22554289803270436
24352,24352,0.548785565188144,11,0,False,0.1596238243638236,0.1883429222621745,-1.6500448194719521,3.501539099117833,0.02204783992287656,-1.0886790327212519,-0.39306012791249983,0.6199081942171232,-0.1514120710268714,-0.2549480107119096
24353,24353,0.377933038863419,12,1,True,-1.308197620281491,-1.6976814126039859,-0.18963145714458288,0.2846786914462521,-0.08274891624716091,0.08842360111468381,-0.2674645736341446,0.009134063144864308,-0.3782974899464025,0.21153974058053523
24354,24354,0.37687297814963,13,1,True,-1.2891578078075643,-1.6948885942435035,-0.18047224458453565,0.29165534892707967,-0.09734044493268199,0.08446714857339029,-0.2693509343899834,-0.0016377544974320887,-0.3737120779924704,0.23990162432301754
24355,24355,0.378680468390722,14,0,False,-1.2804267769880076,-1.6736720980789845,-0.18507852219619345,0.30954329753490684,-0.10617886629822387,0.08213483235144516,-0.2708991403504894,-0.0014111793871817904,-0.38877967711348943,0.2536801933467354
24356,24356,0.384593794912328,15,0,False,-1.28137304734928,-1.61177956466244,-0.19000838836387873,0.28679758607183387,-0.1295597083235662,0.07678326795643801,-0.2666058229972631,0.003805198972663283,-0.41899885748008897,0.2543038295860528
24357,24357,0.383394834472747,16,0,False,-1.2652651127140149,-1.6044027487048782,-0.1789274200575608,0.28680221045824933,-0.14623975971838443,0.07417791058191037,-0.24823612094789818,0.015845439727657423,-0.42360928902162187,0.25348408523195115
24358,24358,0.382611839838303,17,0,False,-1.2441154222063862,-1.5911829326525238,-0.17118123874349842,0.30414722384138365,-0.1643073457898835,0.07130196859811595,-0.2290654584142347,0.030810387679891298,-0.4352418323146074,0.25626464556450873
24359,24359,0.382446898263781,18,0,False,-1.2303015104147927,-1.5804260808159605,-0.16815098567585238,0.3198572500507959,-0.17545803105554675,0.06943198289733908,-0.21836701944144665,0.03984818277345527,-0.4447407610974483,0.2598825956567201
24360,24360,0.379942676028189,19,0,False,-1.2084424977467054,-1.5851190529619577,-0.15602725733420383,0.3337847428984557,-0.1892413816606559,0.06700125923585977,-0.20540847004329335,0.044764765317786226,-0.44157511107181974,0.27058715057143923
24361,24361,0.380015186207396,20,0,False,-1.200340888986202,-1.570910635231585,-0.15185248711804475,0.33659043740396105,-0.20050419508175427,0.06604042360118369,-0.18468923728786607,0.06483911960761955,-0.45382210113433236,0.2544947922132497
24362,24362,0.390722418334932,21,0,False,-1.2051801156762278,-1.4750159713065156,-0.20229009180819477,0.4368932296952784,-0.1992842748498953,0.06894962130086658,-0.1606714585186017,0.1271354759011727,-0.54812306676942,0.2039844574534685
24363,24363,0.395105645094585,22,0,False,-1.2199004219419916,-1.4391215833194304,-0.2203543336498481,0.4489531886034531,-0.1953253325126973,0.07168317209488337,-0.14390871905311745,0.15993471760685524,-0.5834972690653158,0.16082332151968667
24387,24387,0.313879902202506,23,0,False,-1.6014078149847182,-2.6268659234478893,-0.32217909587137533,0.5424321178506024,0.4067531263740504,0.2234734240771158,-0.17965451606520497,0.40271907580903116,-0.5692083536990286,-0.06914841230169365
24388,24388,0.316293038122735,24,0,False,-1.6043347020486203,-2.6021772530627776,-0.3262621685056758,0.5388946716336221,0.4020830058270768,0.22276515230900992,-0.17474784949962135,0.4087618708084163,-0.577447117262499,-0.08307948121333025
24389,24389,0.312240222636242,25,0,False,-1.5749419343668172,-2.6220331294722095,-0.3073630478650981,0.5505564679753625,0.3882457245300168,0.21837327349064967,-0.1814953003623605,0.38374249900434515,-0.5483997844596763,-0.040911082841776025
24986,24986,0.369017302974054,26,0,False,0.5660544318418559,0.8642638485444936,-0.32593705867468287,3.007868377627099,0.9939930484885572,0.9578834889528934,-0.37665404206622394,0.718790302174279,-0.11442901865465026,0.09800923360584007
